"isbn","Price","shipping","Price + Shipping","Sold by","Shipped by","Position","Buybox"
"[0316496456","$25.95","$0.00","25.95","Amazon.com","Amazon.com","0","Yes"
"[0316496456","$19.01","$3.99","23.0","indoobestsellers","indoobestsellers","1","No"
"[0316496456","$19.02","$3.99","23.009999999999998","SuperBookDeals---","SuperBookDeals---","2","No"
"[0316496456","$24.29","$0.00","24.29","Wordery USA","Wordery USA","3","No"
"[0316496456","$20.31","$3.99","24.299999999999997","Windy Books","Windy Books","4","No"
"[0316496456","$24.72","$0.00","24.72","9:9","9:9","5","No"
"[0316496456","$20.73","$3.99","24.72","booksXpress","booksXpress","6","No"
"[0316496456","$25.20","$0.00","25.2","TheProductsHub","TheProductsHub","7","No"
"[0316496456","$25.23","$0.00","25.23","bargainbookstores-","bargainbookstores-","8","No"
"[0316496456","$21.60","$3.99","25.590000000000003","Ambis Enterprises","Ambis Enterprises","9","No"
"[0316496456","$26.19","$0.00","26.19","Publisher Direct","Publisher Direct","10","No"
"[0310444039","$29.39","$0.00","29.39","Amazon.com","Amazon.com","0","Yes"
"[0310444039","$24.11","$0.00","24.11","Sparkle Books","Sparkle Books","1","No"
"[0310444039","$24.14","$0.00","24.14","Pep Books","Pep Books","2","No"
"[0310444039","$20.15","$0.00","20.15","indoobestsellers","indoobestsellers","3","No"
"[0310444039","$24.15","$0.00","24.15","Book-Buzz","Book-Buzz","4","No"
"[0310444039","$25.92","$0.00","25.92","Galaxy_Books","Galaxy_Books","5","No"
"[0310444039","$26.87","$0.00","26.87","Book-Net","Book-Net","6","No"
"[0310444039","$27.25","$0.00","27.25","Book_Storm","Book_Storm","7","No"
"[0310444039","$24.35","$0.00","24.35","Ambis Enterprises","Ambis Enterprises","8","No"
"[0310444039","$25.54","$0.00","25.54","SuperBookDeals---","SuperBookDeals---","9","No"
"[0310444039","$29.70","$0.00","29.7","Publisher Direct","Publisher Direct","10","No"
"[1409155811","$24.21","$0.00","24.21","Just prime books","Amazon.com","0","Yes"
"[1409155811","$24.21","$0.00","24.21","⭐BookPod","Amazon.com","1","No"
"[1409155811","$26.50","$0.00","26.5","The Prime Bookshop","Amazon.com","2","No"
"[1409155811","$26.99","$0.00","26.99","Amazon.com","Amazon.com","3","No"
"[1409155811","$27.72","$3.99","31.71","SuperBookDeals---","SuperBookDeals---","4","No"
"[1409155811","$31.77","$0.00","31.77","Book Depository US","Book Depository US","5","No"
"[1409155811","$20.21","$12.02","32.230000000000004","Libraryly","Libraryly","6","No"
"[1409155811","$28.32","$3.99","32.31","Blackwell's U.K. *dispatched from UK*","Blackwell's U.K. *dispatched from UK*","7","No"
"[1409155811","$20.21","$12.18","32.39","PeaceOfMind Books","PeaceOfMind Books","8","No"
"[1409155811","$36.99","$0.00","36.99","Wordery Specialist","Wordery Specialist","9","No"
"[1409155811","$37.13","$0.00","37.13","PBShop UK","PBShop UK","10","No"
"[0316456128","$23.99","$0.00","23.99","Amazon.com","Amazon.com","0","Yes"
"[0316456128","$23.90","$0.00","23.9","Sofos2019","Amazon.com","1","No"
"[0316456128","$25.74","$3.99","29.729999999999997","indoobestsellers","indoobestsellers","2","No"
"[0316456128","$27.32","$3.99","31.310000000000002","Windy Books","Windy Books","3","No"
"[0316456128","$27.85","$3.99","31.840000000000003","booksXpress","booksXpress","4","No"
"[0316456128","$31.84","$0.00","31.84","9:9","9:9","5","No"
"[0316456128","$33.00","$0.00","33.0","TheProductsHub","TheProductsHub","6","No"
"[0316456128","$33.03","$0.00","33.03","Publisher Direct","Publisher Direct","7","No"
"[0316456128","$36.12","$0.00","36.12","californiabooks","californiabooks","8","No"
"[0316456128","$32.21","$3.99","36.2","ZiFiti","ZiFiti","9","No"
"[0316456128","$36.25","$0.00","36.25","Universal Direct Brands","Universal Direct Brands","10","No"
