"isbn","Price","Sold by","Shipped by","Position","Buybox","Date","Time"
"[0310444039","$17.65","Amazon.com","Amazon.com","","No","2025_07_18","11_55_35"
"[0310444039","$24.73","Best-To-You","Best-To-You","","No","2025_07_18","11_55_35"
"[0310444039","$27.00","Emfa Business","Amazon.com","","No","2025_07_18","11_55_35"
"[0310444039","$23.99","indoobestsellers","indoobestsellers","","No","2025_07_18","11_55_35"
"[0310444039","$26.55","SuperBookDeals---","SuperBookDeals---","","No","2025_07_18","11_55_35"
"[0310444039","$30.90","Textbooks by John","Textbooks by John","","No","2025_07_18","11_55_35"
"[0310444039","$30.95","webdelicollc","webdelicollc","","No","2025_07_18","11_55_35"
"[0310444039","$27.99","Fifty Third Street Books","Fifty Third Street Books","","No","2025_07_18","11_55_35"
"[0310444039","$29.24","booksXpress","booksXpress","","No","2025_07_18","11_55_35"
"[0310444039","$29.24","Windy Books","Windy Books","","No","2025_07_18","11_55_35"
"[0310444039","$33.27","MyPrepbooks","MyPrepbooks","","No","2025_07_18","11_55_35"
"[0310444039","$0.00","","","","No","2025_07_18","11_55_38"
"[0310444039","$29.63","Ambis Enterprises","Ambis Enterprises","","No","2025_07_18","11_55_38"
"[0310444039","$33.83","Books Unplugged","Books Unplugged","","No","2025_07_18","11_55_38"
"[0310444039","$34.22","betterdeals2019","betterdeals2019","","No","2025_07_18","11_55_38"
"[0310444039","$34.35","bargainbookstores-","bargainbookstores-","","No","2025_07_18","11_55_38"
"[0310444039","$34.78","Publisher Direct","Publisher Direct","","No","2025_07_18","11_55_38"
"[0310444039","$37.52","California Books US","California Books US","","No","2025_07_18","11_55_38"
"[0310444039","$37.95","GrandEagleRetail","GrandEagleRetail","","No","2025_07_18","11_55_38"
"[0310444039","$34.09","Cyprus City Sales","Cyprus City Sales","","No","2025_07_18","11_55_38"
"[0310444039","$34.09","BunkoBooks","BunkoBooks","","No","2025_07_18","11_55_38"
"[0310444039","$34.16","ShopSpell US","ShopSpell US","","No","2025_07_18","11_55_38"
"[0310444039","$0.00","","","","No","2025_07_18","11_55_40"
"[0310444039","$38.88","God's Outlet","God's Outlet","","No","2025_07_18","11_55_40"
"[0310444039","$39.97","tabletopart","tabletopart","","No","2025_07_18","11_55_40"
"[0310444039","$29.54","Green Orbit","Green Orbit","","No","2025_07_18","11_55_40"
"[0310444039","$37.61","Book & Mortar Record Store","Book & Mortar Record Store","","No","2025_07_18","11_55_40"
"[0310444039","$45.00","Green Bookz","Amazon.com","","No","2025_07_18","11_55_40"
"[0310444039","$45.40","PBShop UK","PBShop UK","","No","2025_07_18","11_55_40"
"[0310444039","$46.46","InfiniteBooks_USA","InfiniteBooks_USA","","No","2025_07_18","11_55_40"
"[0310444039","$47.70","awesomebooksusa","awesomebooksusa","","No","2025_07_18","11_55_40"
"[0310444039","$44.28","RAREWAVES-USA","RAREWAVES-USA","","No","2025_07_18","11_55_40"
"[0310444039","$51.36","GreenworldIntl","GreenworldIntl","","No","2025_07_18","11_55_40"
"[1452180733","$17.46","Amazon.com","Amazon.com","","No","2025_07_18","11_55_43"
"[1452180733","$16.58","shinystars","Amazon.com","","No","2025_07_18","11_55_43"
"[1452180733","$8.99","By InSight","By InSight","","No","2025_07_18","11_55_43"
"[1452180733","$19.00","Karatay Store","Amazon.com","","No","2025_07_18","11_55_43"
"[1452180733","$14.95","home of books","home of books","","No","2025_07_18","11_55_43"
"[1452180733","$26.30","webdelicollc","webdelicollc","","No","2025_07_18","11_55_43"
"[1452180733","$22.76","SuperBookDeals---","SuperBookDeals---","","No","2025_07_18","11_55_43"
"[1452180733","$22.77","Ambis Enterprises","Ambis Enterprises","","No","2025_07_18","11_55_43"
"[1452180733","$23.41","Windy Books","Windy Books","","No","2025_07_18","11_55_43"
"[1452180733","$23.41","booksXpress","booksXpress","","No","2025_07_18","11_55_43"
"[1452180733","$23.51","World Deals, USA","World Deals, USA","","No","2025_07_18","11_55_43"
"[0310444039","$0.00","","","","No","2025_07_18","11_55_45"
"[1409155811","$26.43","Amazon.com","Amazon.com","","No","2025_07_18","11_55_48"
"[1409155811","$19.40","World Deals, USA","World Deals, USA","","No","2025_07_18","11_55_48"
"[1409155811","$26.13","Edvance Ahead","Amazon.com","","No","2025_07_18","11_55_48"
"[1409155811","$28.75","GrandEagleRetail","GrandEagleRetail","","No","2025_07_18","11_55_48"
"[1409155811","$26.18","SuperBookDeals---","SuperBookDeals---","","No","2025_07_18","11_55_48"
"[1409155811","$26.99","Prim e Books US","Prim e Books US","","No","2025_07_18","11_55_48"
"[1409155811","$33.80","Books World Aparna, USA","Books World Aparna, USA","","No","2025_07_18","11_55_48"
"[1409155811","$35.20","Bahamut Media","Bahamut Media","","No","2025_07_18","11_55_48"
"[1409155811","$37.42","BrookBookstore","BrookBookstore","","No","2025_07_18","11_55_48"
"[1409155811","$37.28","Windy Books","Windy Books","","No","2025_07_18","11_55_48"
"[1409155811","$44.40","BOOKS etc. _","BOOKS etc. _","","No","2025_07_18","11_55_48"
"[1452180733","$0.00","","","","No","2025_07_18","11_55_51"
"[1452180733","$28.59","Publisher Direct","Publisher Direct","","No","2025_07_18","11_55_51"
"[1452180733","$28.70","betterdeals2019","betterdeals2019","","No","2025_07_18","11_55_51"
"[1452180733","$30.37","InfiniteBooks_USA","InfiniteBooks_USA","","No","2025_07_18","11_55_51"
"[1452180733","$26.40","North Star Book Company","North Star Book Company","","No","2025_07_18","11_55_51"
"[1452180733","$30.47","California Books US","California Books US","","No","2025_07_18","11_55_51"
"[1452180733","$30.77","Bahamut Media","Bahamut Media","","No","2025_07_18","11_55_51"
"[1452180733","$31.03","awesomebooksusa","awesomebooksusa","","No","2025_07_18","11_55_51"
"[1452180733","$31.22","GrandEagleRetail","GrandEagleRetail","","No","2025_07_18","11_55_51"
"[1452180733","$26.53","Book & Mortar Record Store","Book & Mortar Record Store","","No","2025_07_18","11_55_51"
"[1452180733","$32.77","LuminaryBooks","LuminaryBooks","","No","2025_07_18","11_55_51"
"[1540007103","$39.99","Amazon.com","Amazon.com","","No","2025_07_18","11_55_54"
"[1540007103","$34.63","GrandEagleRetail","GrandEagleRetail","","No","2025_07_18","11_55_54"
"[1540007103","$30.65","Windy Books","Windy Books","","No","2025_07_18","11_55_54"
"[1540007103","$30.65","booksXpress","booksXpress","","No","2025_07_18","11_55_54"
"[1540007103","$31.99","Capital Music Gear","Capital Music Gear","","No","2025_07_18","11_55_54"
"[1540007103","$34.35","Imagine -This- Music","Imagine -This- Music","","No","2025_07_18","11_55_54"
"[1540007103","$39.99","MusicCityBooks","MusicCityBooks","","No","2025_07_18","11_55_54"
"[1540007103","$49.51","PBShop UK","PBShop UK","","No","2025_07_18","11_55_54"
"[1540007103","$66.32","RAREWAVES-IMPORTS","RAREWAVES-IMPORTS","","No","2025_07_18","11_55_54"
"[1540007103","$66.32","RAREWAVES-USA","RAREWAVES-USA","","No","2025_07_18","11_55_54"
"[1540007103","$70.32","Fast Cat Books","Fast Cat Books","","No","2025_07_18","11_55_54"
"[0310444039","$0.00","","","","No","2025_07_18","11_55_55"
"[0316440353","$25.36","SummitPark Prints","Amazon.com","","No","2025_07_18","11_55_58"
"[0316440353","$25.56","Amazon.com","Amazon.com","","No","2025_07_18","11_55_58"
"[0316440353","$30.73","Ambis Enterprises","Ambis Enterprises","","No","2025_07_18","11_55_58"
"[0316440353","$30.75","SuperBookDeals---","SuperBookDeals---","","No","2025_07_18","11_55_58"
"[0316440353","$35.05","Publisher Direct","Publisher Direct","","No","2025_07_18","11_55_58"
"[0316440353","$36.24","webdelicollc","webdelicollc","","No","2025_07_18","11_55_58"
"[0316440353","$36.36","betterdeals2019","betterdeals2019","","No","2025_07_18","11_55_58"
"[0316440353","$37.53","California Books US","California Books US","","No","2025_07_18","11_55_58"
"[0316440353","$35.42","World Deals, USA","World Deals, USA","","No","2025_07_18","11_55_58"
"[0316440353","$37.47","Cyprus City Sales","Cyprus City Sales","","No","2025_07_18","11_55_58"
"[0316440353","$37.47","Anderson Family Library","Anderson Family Library","","No","2025_07_18","11_55_58"
"[1409155811","$0.00","","","","No","2025_07_18","11_56_01"
"[1409155811","$36.17","Bahamut Media","Bahamut Media","","No","2025_07_18","11_56_01"
"[1409155811","$42.73","RAREWAVES-IMPORTS","RAREWAVES-IMPORTS","","No","2025_07_18","11_56_01"
"[1409155811","$39.23","ship_option_#1","ship_option_#1","","No","2025_07_18","11_56_01"
"[1409155811","$46.81","tabletopart","tabletopart","","No","2025_07_18","11_56_01"
"[1409155811","$47.51","agreenhippo1","agreenhippo1","","No","2025_07_18","11_56_01"
"[1409155811","$43.72","booksXpress","booksXpress","","No","2025_07_18","11_56_01"
"[1409155811","$48.82","LuminaryBooks","LuminaryBooks","","No","2025_07_18","11_56_01"
"[1786275716","$20.27","Amazon.com","Amazon.com","","No","2025_07_18","11_56_03"
"[1786275716","$19.43","Woodville Books","Woodville Books","","No","2025_07_18","11_56_03"
"[1786275716","$26.40","SuperBookDeals---","SuperBookDeals---","","No","2025_07_18","11_56_03"
"[1786275716","$26.62","World Deals, USA","World Deals, USA","","No","2025_07_18","11_56_03"
"[1786275716","$27.09","booksXpress","booksXpress","","No","2025_07_18","11_56_03"
"[1786275716","$27.09","Windy Books","Windy Books","","No","2025_07_18","11_56_03"
"[1786275716","$31.82","Publisher Direct","Publisher Direct","","No","2025_07_18","11_56_03"
"[1786275716","$32.71","webdelicollc","webdelicollc","","No","2025_07_18","11_56_03"
"[1786275716","$33.33","betterdeals2019","betterdeals2019","","No","2025_07_18","11_56_03"
"[1786275716","$34.00","California Books US","California Books US","","No","2025_07_18","11_56_03"
"[1786275716","$30.50","Anderson Family Library","Anderson Family Library","","No","2025_07_18","11_56_03"
"[1540002349","$11.30","Amazon.com","Amazon.com","","No","2025_07_18","11_56_05"
"[1540002349","$0.00","Imagine -This- Music","Imagine -This- Music","","No","2025_07_18","11_56_05"
"[1540002349","$15.22","indoobestsellers","indoobestsellers","","No","2025_07_18","11_56_05"
"[1540002349","$15.23","Ambis Enterprises","Ambis Enterprises","","No","2025_07_18","11_56_05"
"[1540002349","$15.23","SuperBookDeals---","SuperBookDeals---","","No","2025_07_18","11_56_05"
"[1540002349","$19.81","bargainbookstores-","bargainbookstores-","","No","2025_07_18","11_56_05"
"[1540002349","$16.73","booksXpress","booksXpress","","No","2025_07_18","11_56_05"
"[1540002349","$16.73","Windy Books","Windy Books","","No","2025_07_18","11_56_05"
"[1540002349","$16.79","World Deals, USA","World Deals, USA","","No","2025_07_18","11_56_05"
"[1540002349","$21.34","betterdeals2019","betterdeals2019","","No","2025_07_18","11_56_05"
