"isbn","Price","shipping","Price + Shipping","Sold by","Shipped by","Position","Buybox","Date","Time"
"[0310444039","$17.65","$0.00","17.65","Amazon.com","Amazon.com","","No","2025_06_24","12_00_18"
"[0310444039","$24.83","$0.00","24.83","Best-To-You","Best-To-You","","No","2025_06_24","12_00_18"
"[0310444039","$27.00","$0.00","27.0","Emfa Business","Amazon.com","","No","2025_06_24","12_00_18"
"[0310444039","$26.90","$0.00","26.9","indoobestsellers","indoobestsellers","","No","2025_06_24","12_00_18"
"[0310444039","$30.90","$0.00","30.9","Textbooks by John","Textbooks by John","","No","2025_06_24","12_00_18"
"[0310444039","$30.95","$0.00","30.95","Amasinbooks","Amasinbooks","","No","2025_06_24","12_00_18"
"[0310444039","$30.99","$0.00","30.99","ShopSpell US","ShopSpell US","","No","2025_06_24","12_00_18"
"[0310444039","$27.99","$0.00","27.99","Fifty Third Street Books","Fifty Third Street Books","","No","2025_06_24","12_00_18"
"[0310444039","$29.22","$0.00","29.22","booksXpress","booksXpress","","No","2025_06_24","12_00_18"
"[0310444039","$29.22","$0.00","29.22","Windy Books","Windy Books","","No","2025_06_24","12_00_18"
"[0310444039","$33.37","$0.00","33.37","MyPrepbooks","MyPrepbooks","","No","2025_06_24","12_00_18"
"[1409155811","$26.99","$0.00","26.99","Amazon.com","Amazon.com","","No","2025_06_24","12_00_21"
"[1409155811","$18.98","$0.00","18.98","World Deals, USA","World Deals, USA","","No","2025_06_24","12_00_21"
"[1409155811","$26.69","$0.00","26.69","PARK TRADE","Amazon.com","","No","2025_06_24","12_00_21"
"[1409155811","$26.98","$0.00","26.98","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","12_00_21"
"[1409155811","$26.99","$0.00","26.99","Prime Books US","Prime Books US","","No","2025_06_24","12_00_21"
"[1409155811","$33.80","$0.00","33.8","Books World Aparna, USA","Books World Aparna, USA","","No","2025_06_24","12_00_21"
"[1409155811","$35.20","$0.00","35.2","Bahamut Media","Bahamut Media","","No","2025_06_24","12_00_21"
"[1409155811","$31.11","$0.00","31.11","ButterflyBooks2083","ButterflyBooks2083","","No","2025_06_24","12_00_21"
"[1409155811","$37.03","$0.00","37.03","BrookBookstore","BrookBookstore","","No","2025_06_24","12_00_21"
"[1409155811","$37.32","$0.00","37.32","GrandEagleRetail","GrandEagleRetail","","No","2025_06_24","12_00_21"
"[1409155811","$37.27","$0.00","37.27","Windy Books","Windy Books","","No","2025_06_24","12_00_21"
"[1452180733","$17.46","$0.00","17.46","Amazon.com","Amazon.com","","No","2025_06_24","12_00_23"
"[1452180733","$17.91","$0.00","17.91","ROSE BOOK SELLER","ROSE BOOK SELLER","","No","2025_06_24","12_00_23"
"[1452180733","$14.95","$0.00","14.95","home of books","home of books","","No","2025_06_24","12_00_23"
"[1452180733","$17.54","$0.00","17.54","By InSight","By InSight","","No","2025_06_24","12_00_23"
"[1452180733","$25.42","$0.00","25.42","ShopSpell US","ShopSpell US","","No","2025_06_24","12_00_23"
"[1452180733","$26.30","$0.00","26.3","Amasinbooks","Amasinbooks","","No","2025_06_24","12_00_23"
"[1452180733","$22.76","$0.00","22.76","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","12_00_23"
"[1452180733","$22.77","$0.00","22.77","Ambis Enterprises","Ambis Enterprises","","No","2025_06_24","12_00_23"
"[1452180733","$22.77","$0.00","22.77","World Deals, USA","World Deals, USA","","No","2025_06_24","12_00_23"
"[1452180733","$23.40","$0.00","23.4","Windy Books","Windy Books","","No","2025_06_24","12_00_23"
"[1452180733","$23.40","$0.00","23.4","booksXpress","booksXpress","","No","2025_06_24","12_00_23"
"[1540007103","$39.99","$0.00","39.99","Amazon.com","Amazon.com","","No","2025_06_24","12_00_26"
"[1540007103","$34.17","$0.00","34.17","GrandEagleRetail","GrandEagleRetail","","No","2025_06_24","12_00_26"
"[1540007103","$30.19","$0.00","30.19","Windy Books","Windy Books","","No","2025_06_24","12_00_26"
"[1540007103","$30.19","$0.00","30.19","booksXpress","booksXpress","","No","2025_06_24","12_00_26"
"[1540007103","$31.99","$0.00","31.99","Capital Music Gear","Capital Music Gear","","No","2025_06_24","12_00_26"
"[1540007103","$34.35","$0.00","34.35","Imagine -This- Music","Imagine -This- Music","","No","2025_06_24","12_00_26"
"[1540007103","$39.99","$0.00","39.99","MusicCityBooks","MusicCityBooks","","No","2025_06_24","12_00_26"
"[1540007103","$50.94","$0.00","50.94","RAREWAVES-USA","RAREWAVES-USA","","No","2025_06_24","12_00_26"
"[1540007103","$44.99","$0.00","44.99","RetrostarMusic","RetrostarMusic","","No","2025_06_24","12_00_26"
"[1540007103","$57.15","$0.00","57.15","PBShop UK","PBShop UK","","No","2025_06_24","12_00_26"
