"isbn","Price","Sold by","Shipped by","Position","Buybox","Date","Time"
"[0310444039","$17.65","Amazon.com","Amazon.com","","No","2025_06_24","13_50_07"
"[0310444039","$24.83","Best-To-You","Best-To-You","","No","2025_06_24","13_50_07"
"[0310444039","$23.00","indoobestsellers","indoobestsellers","","No","2025_06_24","13_50_07"
"[0310444039","$27.00","Emfa Business","Amazon.com","","No","2025_06_24","13_50_07"
"[0310444039","$30.90","Textbooks by John","Textbooks by John","","No","2025_06_24","13_50_07"
"[0310444039","$30.95","Amasinbooks","Amasinbooks","","No","2025_06_24","13_50_07"
"[0310444039","$27.99","Fifty Third Street Books","Fifty Third Street Books","","No","2025_06_24","13_50_07"
"[0310444039","$29.22","booksXpress","booksXpress","","No","2025_06_24","13_50_07"
"[0310444039","$29.22","Windy Books","Windy Books","","No","2025_06_24","13_50_07"
"[0310444039","$33.37","MyPrepbooks","MyPrepbooks","","No","2025_06_24","13_50_07"
"[0310444039","$29.63","Ambis Enterprises","Ambis Enterprises","","No","2025_06_24","13_50_07"
"[1452180733","$17.46","Amazon.com","Amazon.com","","No","2025_06_24","13_50_16"
"[1452180733","$17.91","ROSE BOOK SELLER","ROSE BOOK SELLER","","No","2025_06_24","13_50_16"
"[1452180733","$14.95","home of books","home of books","","No","2025_06_24","13_50_16"
"[1452180733","$17.54","By InSight","By InSight","","No","2025_06_24","13_50_16"
"[1452180733","$25.42","ShopSpell US","ShopSpell US","","No","2025_06_24","13_50_16"
"[1452180733","$26.30","Amasinbooks","Amasinbooks","","No","2025_06_24","13_50_16"
"[1452180733","$22.75","World Deals, USA","World Deals, USA","","No","2025_06_24","13_50_16"
"[1452180733","$22.76","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","13_50_16"
"[1452180733","$22.77","Ambis Enterprises","Ambis Enterprises","","No","2025_06_24","13_50_16"
"[1452180733","$23.40","booksXpress","booksXpress","","No","2025_06_24","13_50_16"
"[1452180733","$23.40","Windy Books","Windy Books","","No","2025_06_24","13_50_16"
"[1540002349","$11.30","Amazon.com","Amazon.com","","No","2025_06_24","13_50_19"
"[1540002349","$0.00","Imagine -This- Music","Imagine -This- Music","","No","2025_06_24","13_50_19"
"[1540002349","$17.83","ShopSpell US","ShopSpell US","","No","2025_06_24","13_50_19"
"[1540002349","$15.22","indoobestsellers","indoobestsellers","","No","2025_06_24","13_50_19"
"[1540002349","$15.23","Ambis Enterprises","Ambis Enterprises","","No","2025_06_24","13_50_19"
"[1540002349","$15.60","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","13_50_19"
"[1540002349","$19.60","bargainbookstores-","bargainbookstores-","","No","2025_06_24","13_50_19"
"[1540002349","$16.70","booksXpress","booksXpress","","No","2025_06_24","13_50_19"
"[1540002349","$16.70","Windy Books","Windy Books","","No","2025_06_24","13_50_19"
"[1540002349","$21.34","betterdeals2019","betterdeals2019","","No","2025_06_24","13_50_19"
"[1540002349","$21.65","GrandEagleRetail","GrandEagleRetail","","No","2025_06_24","13_50_19"
"[0316440353","$27.44","SummitPark Prints","Amazon.com","","No","2025_06_24","13_50_22"
"[0316440353","$27.64","Amazon.com","Amazon.com","","No","2025_06_24","13_50_22"
"[0316440353","$31.04","Ambis Enterprises","Ambis Enterprises","","No","2025_06_24","13_50_22"
"[0316440353","$35.05","Publisher Direct","Publisher Direct","","No","2025_06_24","13_50_22"
"[0316440353","$35.63","betterdeals2019","betterdeals2019","","No","2025_06_24","13_50_22"
"[0316440353","$32.24","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","13_50_22"
"[0316440353","$36.24","Amasinbooks","Amasinbooks","","No","2025_06_24","13_50_22"
"[0316440353","$36.35","California Books US","California Books US","","No","2025_06_24","13_50_22"
"[0316440353","$28.99","MT Rainier Store","MT Rainier Store","","No","2025_06_24","13_50_22"
"[0316440353","$40.74","Heart & Sole Trading","Heart & Sole Trading","","No","2025_06_24","13_50_22"
"[0316440353","$37.47","Cyprus City Sales","Cyprus City Sales","","No","2025_06_24","13_50_22"
"[1409155811","$26.99","Amazon.com","Amazon.com","","No","2025_06_24","13_50_25"
"[1409155811","$18.98","World Deals, USA","World Deals, USA","","No","2025_06_24","13_50_25"
"[1409155811","$26.69","PARK TRADE","Amazon.com","","No","2025_06_24","13_50_25"
"[1409155811","$26.98","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","13_50_25"
"[1409155811","$26.99","Prime Books US","Prime Books US","","No","2025_06_24","13_50_25"
