"isbn","Price","Sold by","Shipped by","Date","Time"
"035751369X","$100.71","Amazon.com","Amazon.com","2025_07_21","17_14_51"
"035751369X","$97.82","RBOWBOOKS","RBOWBOOKS","2025_07_21","17_14_51"
"035751369X","$103.85","Wholesale Textbooks Direct","Amazon.com","2025_07_21","17_14_51"
"035751369X","$106.91","TextbookRush🍎","TextbookRush🍎","2025_07_21","17_14_51"
"035751369X","$108.28","Ample Books","Amazon.com","2025_07_21","17_14_51"
"035751369X","$108.29","itemspopularsonlineaindemand","Amazon.com","2025_07_21","17_14_51"
"035751369X","$108.78","Apex_media🍏","Amazon.com","2025_07_21","17_14_51"
"035751369X","$112.99","SuperBookDeals---","SuperBookDeals---","2025_07_21","17_14_51"
"035751369X","$116.99","studentbargains3","studentbargains3","2025_07_21","17_14_51"
"035751369X","$118.53","PAMS Ent","PAMS Ent","2025_07_21","17_14_51"
"035751369X","$119.99","*Smart Student*","Amazon.com","2025_07_21","17_14_51"
"035751369X","$0.00","","","2025_07_21","17_14_53"
"035751369X","$122.22","tabletopart","tabletopart","2025_07_21","17_14_53"
"035751369X","$123.12","textbooks_source","textbooks_source","2025_07_21","17_14_53"
"035751369X","$125.75","awesomebooksusa","awesomebooksusa","2025_07_21","17_14_53"
"035751369X","$121.40","Red's Corner","Red's Corner","2025_07_21","17_14_53"
"035751369X","$127.77","Half-Price Hank's Books","Amazon.com","2025_07_21","17_14_53"
"035751369X","$128.49","Bahamut Media","Bahamut Media","2025_07_21","17_14_53"
"035751369X","$133.69","InfiniteBooks_USA","InfiniteBooks_USA","2025_07_21","17_14_53"
"035751369X","$140.15","🚀QuickyShipper📚","Amazon.com","2025_07_21","17_14_53"
"035751369X","$143.11","BookExcellence","BookExcellence","2025_07_21","17_14_53"
"035751369X","$145.02","Yachew LTD UK","Yachew LTD UK","2025_07_21","17_14_53"
"0443111790","$117.99","Books & Bauble","Amazon.com","2025_07_21","17_14_56"
"0443111790","$109.59","awesomebooksusa","awesomebooksusa","2025_07_21","17_14_56"
"0443111790","$110.54","SuperBookDeals---","SuperBookDeals---","2025_07_21","17_14_56"
"0443111790","$110.91","World Deals, USA","World Deals, USA","2025_07_21","17_14_56"
"0443111790","$112.00","Books Paradise Global","Books Paradise Global","2025_07_21","17_14_56"
"0443111790","$120.54","OxfordshireEngland","OxfordshireEngland","2025_07_21","17_14_56"
"0443111790","$124.88","BrookBookstore","BrookBookstore","2025_07_21","17_14_56"
"0443111790","$126.20","tabletopart","tabletopart","2025_07_21","17_14_56"
"0443111790","$129.85","Bahamut Media","Bahamut Media","2025_07_21","17_14_56"
"0443111790","$129.87","PBShop UK","PBShop UK","2025_07_21","17_14_56"
"0443111790","$143.06","GrandEagleRetail","GrandEagleRetail","2025_07_21","17_14_56"
"035751369X","$0.00","","","2025_07_21","17_14_58"
"035751369X","$114.47","RBOWBOOKS","Amazon.com","2025_07_21","17_14_58"
"035751369X","$154.89","Ample Books","Ample Books","2025_07_21","17_14_58"
"035751369X","$157.34","GrandEagleRetail","GrandEagleRetail","2025_07_21","17_14_58"
"035751369X","$170.00","Kentucky Book Store.","Kentucky Book Store.","2025_07_21","17_14_58"
"035751369X","$181.80","betterdeals2019","betterdeals2019","2025_07_21","17_14_58"
"035751369X","$179.25","ecampus","ecampus","2025_07_21","17_14_58"
"035751369X","$189.66","Cyprus City Sales","Cyprus City Sales","2025_07_21","17_14_58"
"035751369X","$192.50","ShopSpell US","ShopSpell US","2025_07_21","17_14_58"
"035751369X","$217.53","RAREWAVES-IMPORTS","RAREWAVES-IMPORTS","2025_07_21","17_14_58"
"035751369X","$228.77","Ubiquity Trade","Ubiquity Trade","2025_07_21","17_14_58"
"0443111790","$0.00","","","2025_07_21","17_15_00"
"0443111790","$138.85","ship_option_#1","ship_option_#1","2025_07_21","17_15_00"
"0443111790","$155.80","PLANET-BOOKS","PLANET-BOOKS","2025_07_21","17_15_00"
"0443111790","$160.70","Fast Cat Books","Fast Cat Books","2025_07_21","17_15_00"
"0443111790","$171.78","booksXpress","booksXpress","2025_07_21","17_15_00"
"0443111790","$171.78","Windy Books","Windy Books","2025_07_21","17_15_00"
"035751369X","$0.00","","","2025_07_21","17_15_03"
